セットID,セット名,ブランド名,モデル年,参考価格,対象ユーザー層,セットの特徴・コンセプト,推奨度,クラブ種別,クラブ名,ロフト角,シャフト名・素材,フレックス,長さ,ライ角,クラブ重量,ヘッド素材,シャフト重量,グリップ名,単品価格,ブランドロゴ画像ファイル名,発売日,公式商品ページURL,商品画像URL,備考
,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",Titleist,,,,,,ドライバー,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"鍛造
鋳造
選択なし",Titleist,,,,,,ドライバー,"鍛造
鋳造
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クレイジー
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クレイジー
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2001年
不明
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2001年
不明
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"～16.99
17.0～18.99
19.0～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
25.0～25.99
26.0～26.99
27.0～27.99
28.0～28.99
29.0～29.99
  30.0～
選択なし",Titleist,,,,,,ドライバー,"～16.99
17.0～18.99
19.0～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
25.0～25.99
26.0～26.99
27.0～27.99
28.0～28.99
29.0～29.99
  30.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～57.99
58.0～58.99
59.0～59.49
59.5～59.99
60.0～60.49
60.5～60.99
61.0～61.49
61.5～61.99
  62.0～
選択なし",Titleist,,,,,,ドライバー,"～57.99
58.0～58.99
59.0～59.49
59.5～59.99
60.0～60.49
60.5～60.99
61.0～61.49
61.5～61.99
  62.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"フック
スクエア
オープン
選択なし",Titleist,,,,,,ドライバー,"フック
スクエア
オープン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～1.99
2.0～3.99
4.0～5.99
6.0～7.99
8.0～9.99
10.0～11.99
12.0～13.99
14.0～15.99
  16.0～
選択なし",Titleist,,,,,,ドライバー,"～1.99
2.0～3.99
4.0～5.99
6.0～7.99
8.0～9.99
10.0～11.99
12.0～13.99
14.0～15.99
  16.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～99
100～109
110～119
120～129
130～139
140～149
150～159
  160～
選択なし",Titleist,,,,,,ドライバー,"～99
100～109
110～119
120～129
130～139
140～149
150～159
  160～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～36.99
37.0～37.49
37.5～37.99
38.0～38.49
38.5～38.99
39.0～39.49
39.5～39.99
40.0～40.49
40.5～40.99
  41.0～
選択なし",Titleist,,,,,,ドライバー,"～36.99
37.0～37.49
37.5～37.99
38.0～38.49
38.5～38.99
39.0～39.49
39.5～39.99
40.0～40.49
40.5～40.99
  41.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～279
280～299
300～309
310～319
320～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
  400～
選択なし",Titleist,,,,,,ドライバー,"～279
280～299
300～309
310～319
320～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
  400～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～74
75～79
80～84
85～89
90～94
95～99
100～109
110～119
  120～
選択なし",Titleist,,,,,,ドライバー,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～74
75～79
80～84
85～89
90～94
95～99
100～109
110～119
  120～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",Titleist,,,,,,ドライバー,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"中調子
元調子
先調子
中元調子
中先調子
選択なし",Titleist,,,,,,ドライバー,"中調子
元調子
先調子
中元調子
中先調子
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～34
35～39
40～44
45～49
  50～
選択なし",Titleist,,,,,,ドライバー,"～34
35～39
40～44
45～49
  50～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",Titleist,,,,,,ドライバー,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"ウッド型
アイアン型
選択なし",Titleist,,,,,,ドライバー,"ウッド型
アイアン型
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"鍛造
鋳造
選択なし",Titleist,,,,,,ドライバー,"鍛造
鋳造
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2001年
2000年
1999年
1998年
1997年
1996年
1994年
1992年
不明
1987年
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2001年
2000年
1999年
1998年
1997年
1996年
1994年
1992年
不明
1987年
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"1番
2番
3番
4番
5番
6番
7番
8番
9番
10番
11番
12番
PW
AW
SW
GW
選択なし",Titleist,,,,,,ドライバー,"1番
2番
3番
4番
5番
6番
7番
8番
9番
10番
11番
12番
PW
AW
SW
GW
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
25.0～25.99
26.0～26.99
27.0～27.99
28.0～28.99
29.0～29.99
30.0～30.99
31.0～31.99
32.0～32.99
33.0～33.99
34.0～34.99
35.0～35.99
36.0～36.99
37.0～37.99
38.0～38.99
39.0～39.99
40.0～40.99
41.0～41.99
42.0～42.99
43.0～43.99
44.0～44.99
45.0～45.99
46.0～46.99
47.0～47.99
48.0～48.99
49.0～49.99
50.0～50.99
51.0～51.99
52.0～52.99
53.0～53.99
54.0～54.99
55.0～55.99
56.0～56.99
57.0～57.99
58.0～58.99
59.0～59.99
  60.0～
選択なし",Titleist,,,,,,ドライバー,"～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
25.0～25.99
26.0～26.99
27.0～27.99
28.0～28.99
29.0～29.99
30.0～30.99
31.0～31.99
32.0～32.99
33.0～33.99
34.0～34.99
35.0～35.99
36.0～36.99
37.0～37.99
38.0～38.99
39.0～39.99
40.0～40.99
41.0～41.99
42.0～42.99
43.0～43.99
44.0～44.99
45.0～45.99
46.0～46.99
47.0～47.99
48.0～48.99
49.0～49.99
50.0～50.99
51.0～51.99
52.0～52.99
53.0～53.99
54.0～54.99
55.0～55.99
56.0～56.99
57.0～57.99
58.0～58.99
59.0～59.99
  60.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～58.99
59.0～59.49
59.5～59.99
60.0～60.49
60.5～60.99
61.0～61.49
61.5～61.99
62.0～62.49
62.5～62.99
63.0～63.49
63.5～63.99
64.0～64.49
64.5～64.99
65.0～65.49
65.5～65.99
  66.0～
選択なし",Titleist,,,,,,ドライバー,"～58.99
59.0～59.49
59.5～59.99
60.0～60.49
60.5～60.99
61.0～61.49
61.5～61.99
62.0～62.49
62.5～62.99
63.0～63.49
63.5～63.99
64.0～64.49
64.5～64.99
65.0～65.49
65.5～65.99
  66.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～-0.01
0～0.49
0.5～0.99
1.0～1.49
1.5～1.99
2.0～2.49
2.5～2.99
3.0～3.49
3.5～3.99
4.0～4.49
4.5～4.99
5.0～5.49
5.5～5.99
6.0～6.49
6.5～6.99
  7.0～
選択なし",Titleist,,,,,,ドライバー,"～-0.01
0～0.49
0.5～0.99
1.0～1.49
1.5～1.99
2.0～2.49
2.5～2.99
3.0～3.49
3.5～3.99
4.0～4.49
4.5～4.99
5.0～5.49
5.5～5.99
6.0～6.49
6.5～6.99
  7.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～0.049
0.05～0.09
0.1～0.149
0.15～0.19
0.2～0.249
0.25～0.29
0.3～0.349
0.35～0.39
  0.4～
選択なし",Titleist,,,,,,ドライバー,"～0.049
0.05～0.09
0.1～0.149
0.15～0.19
0.2～0.249
0.25～0.29
0.3～0.349
0.35～0.39
  0.4～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～249
250～254
255～259
260～264
265～269
270～274
275～279
280～284
285～289
290～294
295～299
  300～
選択なし",Titleist,,,,,,ドライバー,"～249
250～254
255～259
260～264
265～269
270～274
275～279
280～284
285～289
290～294
295～299
  300～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～-0.01
0～0.9
1～1.9
2～2.9
3～3.9
4～4.9
5～5.9
6～6.9
7～7.9
8～8.9
9～9.9
10～10.9
11～11.9
12～12.9
13～13.9
14～14.9
  15～
選択なし",Titleist,,,,,,ドライバー,"～-0.01
0～0.9
1～1.9
2～2.9
3～3.9
4～4.9
5～5.9
6～6.9
7～7.9
8～8.9
9～9.9
10～10.9
11～11.9
12～12.9
13～13.9
14～14.9
  15～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～33.99
34.0～34.49
34.5～34.99
35.0～35.49
35.5～35.99
36.0～36.49
36.5～36.99
37.0～37.49
37.5～37.99
38.0～38.49
38.5～38.99
39.0～39.49
39.5～39.99
  40.0～
選択なし",Titleist,,,,,,ドライバー,"～33.99
34.0～34.49
34.5～34.99
35.0～35.49
35.5～35.99
36.0～36.49
36.5～36.99
37.0～37.49
37.5～37.99
38.0～38.49
38.5～38.99
39.0～39.49
39.5～39.99
  40.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
400～409
410～419
420～429
430～439
440～449
450～459
  460～
選択なし",Titleist,,,,,,ドライバー,"～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
400～409
410～419
420～429
430～439
440～449
450～459
  460～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～74
75～79
80～84
85～89
90～94
95～99
100～109
110～119
120～129
  130～
選択なし",Titleist,,,,,,ドライバー,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～74
75～79
80～84
85～89
90～94
95～99
100～109
110～119
120～129
  130～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
2.9～2.5
2.4～2
1.9～1.5
  1.49～
選択なし",Titleist,,,,,,ドライバー,"～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
2.9～2.5
2.4～2
1.9～1.5
  1.49～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"中調子
元調子
先調子
中元調子
中先調子
選択なし",Titleist,,,,,,ドライバー,"中調子
元調子
先調子
中元調子
中先調子
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～34
35～39
40～44
45～49
  50～
選択なし",Titleist,,,,,,ドライバー,"～34
35～39
40～44
45～49
  50～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",Titleist,,,,,,ドライバー,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"キャビティ
中空
マッスルバック
中空+キャビティ
ユーティリティ型
選択なし",Titleist,,,,,,ドライバー,"キャビティ
中空
マッスルバック
中空+キャビティ
ユーティリティ型
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"鍛造
鋳造
選択なし",Titleist,,,,,,ドライバー,"鍛造
鋳造
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"2010年角溝ルール適合
2010年角溝ルール不適合
選択なし",Titleist,,,,,,ドライバー,"2010年角溝ルール適合
2010年角溝ルール不適合
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
Jazz Golf
jBEAM
S-YARD
SYB（サイブ／コンセプト）
YES!Golf
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
ゲージデザイン
コブラ
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
Jazz Golf
jBEAM
S-YARD
SYB（サイブ／コンセプト）
YES!Golf
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
ゲージデザイン
コブラ
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2002年
2001年
1999年
1998年
1996年
1994年
不明
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2002年
2001年
1999年
1998年
1996年
1994年
不明
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"～47.99
48.0～49.99
50.0～51.99
52.0～53.99
54.0～55.99
56.0～57.99
58.0～59.99
60.0～61.99
62.0～63.99
64.0～65.99
  66.0～
選択なし",Titleist,,,,,,ドライバー,"～47.99
48.0～49.99
50.0～51.99
52.0～53.99
54.0～55.99
56.0～57.99
58.0～59.99
60.0～61.99
62.0～63.99
64.0～65.99
  66.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～62.99
63.0～63.49
63.5～63.99
64.0～64.49
64.5～64.99
65.0～65.49
65.5～65.99
66.0～66.49
66.5～66.99
67.0～67.49
67.5～67.99
68.0～68.49
68.5～68.99
69.0～69.49
69.5～69.99
  70.0～
選択なし",Titleist,,,,,,ドライバー,"～62.99
63.0～63.49
63.5～63.99
64.0～64.49
64.5～64.99
65.0～65.49
65.5～65.99
66.0～66.49
66.5～66.99
67.0～67.49
67.5～67.99
68.0～68.49
68.5～68.99
69.0～69.49
69.5～69.99
  70.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～1.99
2.0～2.49
2.5～2.99
3.0～3.49
3.5～3.99
4.0～4.49
4.5～4.99
5.0～5.49
5.5～5.99
6.0～6.49
6.5～6.99
7.0～7.49
7.5～7.99
  8.0～
選択なし",Titleist,,,,,,ドライバー,"～1.99
2.0～2.49
2.5～2.99
3.0～3.49
3.5～3.99
4.0～4.49
4.5～4.99
5.0～5.49
5.5～5.99
6.0～6.49
6.5～6.99
7.0～7.49
7.5～7.99
  8.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～-0.001
0.0～0.049
0.05～0.099
0.1～0.199
0.2～0.299
0.3～0.399
0.4～0.499
  0.5～
選択なし",Titleist,,,,,,ドライバー,"～-0.001
0.0～0.049
0.05～0.099
0.1～0.199
0.2～0.299
0.3～0.399
0.4～0.499
  0.5～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～289
290～294
295～299
300～304
305～309
  310～
選択なし",Titleist,,,,,,ドライバー,"～289
290～294
295～299
300～304
305～309
  310～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～0.9
1～1.9
2～2.9
3～3.9
4～4.9
5～5.9
6～6.9
7～7.9
8～8.9
9～9.9
10～10.9
11～11.9
12～12.9
13～13.9
14～14.9
  15～
選択なし",Titleist,,,,,,ドライバー,"～0.9
1～1.9
2～2.9
3～3.9
4～4.9
5～5.9
6～6.9
7～7.9
8～8.9
9～9.9
10～10.9
11～11.9
12～12.9
13～13.9
14～14.9
  15～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～33.99
34.0～34.49
34.5～34.99
35.0～35.49
35.5～35.99
  36.0～
選択なし",Titleist,,,,,,ドライバー,"～33.99
34.0～34.49
34.5～34.99
35.0～35.49
35.5～35.99
  36.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～399
400～409
410～419
420～429
430～439
440～449
450～459
460～469
470～479
480～489
490～499
  500～
選択なし",Titleist,,,,,,ドライバー,"～399
400～409
410～419
420～429
430～439
440～449
450～459
460～469
470～479
480～489
490～499
  500～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～69
70～79
80～89
90～94
95～99
100～104
105～109
110～114
115～119
120～124
125～129
  130～
選択なし",Titleist,,,,,,ドライバー,"～69
70～79
80～89
90～94
95～99
100～104
105～109
110～114
115～119
120～124
125～129
  130～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
2.9～2.5
2.4～2
1.9～1.5
  1.49～
選択なし",Titleist,,,,,,ドライバー,"～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
2.9～2.5
2.4～2
1.9～1.5
  1.49～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"中調子
元調子
先調子
中元調子
中先調子
選択なし",Titleist,,,,,,ドライバー,"中調子
元調子
先調子
中元調子
中先調子
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～34
35～39
40～44
45～49
  50～
選択なし",Titleist,,,,,,ドライバー,"～34
35～39
40～44
45～49
  50～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",,,,,,,,,,,titleist.svg,,,,
